"","gs","cs_range","ccount","cs","ds"
"1",0.93,37.5,0.698970004336019,39,0.132450331125828
"2",0.77,37.5,1.14612803567824,38,0.264900662251656
"3",0.76,37.5,0.778151250383644,39,0.264900662251656
"4",0.71,37.5,1,39,0.132450331125828
"5",0.6,37.5,1.07918124604762,35,0.264900662251656
"6",0.58,37.5,1.32221929473392,38,0.264900662251656
"7",0.49,37.5,0.845098040014257,36,0.264900662251656
"8",0.47,37.5,0.698970004336019,37,0.264900662251656
"9",0.45,37.5,1.6232492903979,38,0.264900662251656
"10",0.42,37.5,1.36172783601759,39,0.264900662251656
"11",0.39,37.5,0.845098040014257,36,0.529801324503311
"12",0.39,37.5,1.43136376415899,38,0.529801324503311
"13",0.38,37.5,1,38,0.529801324503311
"14",0.37,37.5,0.845098040014257,39,0.529801324503311
"15",0.35,37.5,1.11394335230684,39,0.264900662251656
"16",0.35,37.5,1.32221929473392,35,0.264900662251656
"17",0.3,37.5,0.698970004336019,36,0.264900662251656
"18",0.27,37.5,1.44715803134222,38,0.264900662251656
"19",0.25,37.5,0.602059991327962,36,1.05960264900662
"20",0.25,37.5,0.845098040014257,38,1.05960264900662
"21",0.25,37.5,1.44715803134222,39,1.05960264900662
"22",0.23,37.5,0.954242509439325,35,1.05960264900662
"23",0.23,37.5,1,39,1.05960264900662
"24",0.21,37.5,0.778151250383644,37,1.05960264900662
"25",0.21,37.5,1.65321251377534,38,1.05960264900662
"26",0.21,37.5,1.04139268515823,39,1.05960264900662
"27",0.2,37.5,1.14612803567824,36,2.51655629139073
"28",0.2,37.5,1.65321251377534,36,2.51655629139073
"29",0.2,37.5,0.698970004336019,37,2.51655629139073
"30",0.18,37.5,1.44715803134222,36,2.51655629139073
"31",0.18,37.5,0.698970004336019,39,2.51655629139073
"32",0.18,37.5,0.698970004336019,39,2.51655629139073
"33",0.18,37.5,1,39,2.51655629139073
"34",0.18,37.5,1.30102999566398,35,2.51655629139073
"35",0.18,37.5,1.30102999566398,38,2.51655629139073
"36",0.18,37.5,1.20411998265592,39,2.51655629139073
"37",0.18,37.5,1.07918124604762,38,2.51655629139073
"38",0.18,37.5,1.14612803567824,38,2.51655629139073
"39",0.18,37.5,1.53147891704226,38,2.51655629139073
"40",0.17,37.5,0.602059991327962,39,2.51655629139073
"41",0.17,37.5,0.602059991327962,35,2.51655629139073
"42",0.17,37.5,0.778151250383644,36,2.51655629139073
"43",0.16,37.5,0.602059991327962,37,2.51655629139073
"44",0.16,37.5,1.49136169383427,37,2.51655629139073
"45",0.16,37.5,0.903089986991944,38,2.51655629139073
"46",0.15,37.5,1,38,4.23841059602649
"47",0.15,37.5,0.778151250383644,36,4.23841059602649
"48",0.15,37.5,1.07918124604762,39,4.23841059602649
"49",0.15,37.5,1.17609125905568,35,4.23841059602649
"50",0.15,37.5,1.43136376415899,39,4.23841059602649
"51",0.14,37.5,1.60205999132796,38,4.23841059602649
"52",0.14,37.5,1.38021124171161,35,4.23841059602649
"53",0.14,37.5,1.54406804435028,39,4.23841059602649
"54",0.14,37.5,0.602059991327962,38,4.23841059602649
"55",0.14,37.5,1,36,4.23841059602649
"56",0.14,37.5,0.602059991327962,38,4.23841059602649
"57",0.14,37.5,1.04139268515823,35,4.23841059602649
"58",0.14,37.5,1.23044892137827,35,4.23841059602649
"59",0.13,37.5,1.11394335230684,39,4.23841059602649
"60",0.13,37.5,0.778151250383644,39,4.23841059602649
"61",0.13,37.5,1.76342799356294,38,4.23841059602649
"62",0.13,37.5,1.5910646070265,39,4.23841059602649
"63",0.13,37.5,1.51851393987789,37,4.23841059602649
"64",0.13,37.5,0.903089986991944,36,4.23841059602649
"65",0.12,37.5,1.07918124604762,37,4.23841059602649
"66",0.12,37.5,1.25527250510331,39,4.23841059602649
"67",0.12,37.5,1.30102999566398,36,4.23841059602649
"68",0.12,37.5,1.14612803567824,36,4.23841059602649
"69",0.12,37.5,0.602059991327962,39,4.23841059602649
"70",0.11,37.5,0.698970004336019,39,4.23841059602649
"71",0.11,37.5,0.845098040014257,37,4.23841059602649
"72",0.11,37.5,0.778151250383644,39,4.23841059602649
"73",0.11,37.5,0.602059991327962,35,4.23841059602649
"74",0.11,37.5,1.30102999566398,39,4.23841059602649
"75",0.11,37.5,0.698970004336019,35,4.23841059602649
"76",0.11,37.5,1.14612803567824,38,4.23841059602649
"77",0.11,37.5,1.46239799789896,37,4.23841059602649
"78",0.1,37.5,1.50514997831991,39,4.23841059602649
"79",0.1,37.5,0.698970004336019,37,4.23841059602649
"80",0.1,37.5,0.778151250383644,39,4.23841059602649
"81",0.1,37.5,1,36,4.23841059602649
"82",0.1,37.5,1.04139268515823,39,4.23841059602649
"83",0.09,37.5,1.34242268082221,38,4.23841059602649
"84",0.09,37.5,1.5910646070265,37,4.23841059602649
"85",0.09,37.5,1.55630250076729,36,4.23841059602649
"86",0.09,37.5,0.602059991327962,36,4.23841059602649
"87",0.09,37.5,0.845098040014257,39,4.23841059602649
"88",0.08,37.5,0.698970004336019,38,4.23841059602649
"89",0.08,37.5,1.25527250510331,35,4.23841059602649
"90",0.08,37.5,0.903089986991944,36,4.23841059602649
"91",0.08,37.5,0.602059991327962,39,4.23841059602649
"92",0.08,37.5,1.36172783601759,38,4.23841059602649
"93",0.08,37.5,1.36172783601759,35,4.23841059602649
"94",0.08,37.5,0.845098040014257,37,4.23841059602649
"95",0.07,37.5,0.845098040014257,36,4.23841059602649
"96",0.07,37.5,1.25527250510331,38,4.23841059602649
"97",0.07,37.5,1.14612803567824,37,4.23841059602649
"98",0.07,37.5,1.27875360095283,37,4.23841059602649
"99",0.07,37.5,1.5910646070265,36,4.23841059602649
"100",0.07,37.5,0.698970004336019,36,4.23841059602649
"101",0.07,37.5,0.778151250383644,35,4.23841059602649
"102",0.06,37.5,1.11394335230684,37,4.23841059602649
"103",0.06,37.5,1.14612803567824,37,4.23841059602649
"104",0.06,37.5,0.845098040014257,35,4.23841059602649
"105",0.06,37.5,0.698970004336019,38,4.23841059602649
"106",0.06,37.5,0.845098040014257,36,4.23841059602649
"107",0.06,37.5,0.698970004336019,36,4.23841059602649
"108",0.06,37.5,1.04139268515823,35,4.23841059602649
"109",0.06,37.5,0.778151250383644,37,4.23841059602649
"110",0.05,37.5,1.23044892137827,35,5.56291390728477
"111",0.05,37.5,1.07918124604762,36,5.56291390728477
"112",0.05,37.5,1.07918124604762,37,5.56291390728477
"113",0.05,37.5,0.778151250383644,39,5.56291390728477
"114",0.05,37.5,1,37,5.56291390728477
"115",0.05,37.5,0.602059991327962,39,5.56291390728477
"116",0.05,37.5,1.11394335230684,37,5.56291390728477
"117",0.05,37.5,0.954242509439325,37,5.56291390728477
"118",0.05,37.5,1.27875360095283,38,5.56291390728477
"119",0.05,37.5,1.04139268515823,35,5.56291390728477
"120",0.05,37.5,1.20411998265592,39,5.56291390728477
"121",0.04,37.5,0.903089986991944,35,5.56291390728477
"122",0.04,37.5,0.602059991327962,37,5.56291390728477
"123",0.04,37.5,0.903089986991944,35,5.56291390728477
"124",0.04,37.5,0.903089986991944,38,5.56291390728477
"125",0.04,37.5,1.27875360095283,37,5.56291390728477
"126",0.04,37.5,0.698970004336019,37,5.56291390728477
"127",0.04,37.5,0.778151250383644,35,5.56291390728477
"128",0.04,37.5,1.07918124604762,38,5.56291390728477
"129",0.04,37.5,0.602059991327962,39,5.56291390728477
"130",0.04,37.5,1.14612803567824,37,5.56291390728477
"131",0.03,37.5,1.04139268515823,36,5.56291390728477
"132",0.03,37.5,1.07918124604762,38,5.56291390728477
"133",0.03,37.5,0.778151250383644,35,5.56291390728477
"134",0.03,37.5,0.845098040014257,35,5.56291390728477
"135",0.03,37.5,1.04139268515823,39,5.56291390728477
"136",0.02,37.5,1,35,5.56291390728477
"137",0.02,37.5,0.903089986991944,39,5.56291390728477
"138",0.02,37.5,0.954242509439325,38,5.56291390728477
"139",0.02,37.5,0.602059991327962,36,5.56291390728477
"140",0.02,37.5,0.698970004336019,39,5.56291390728477
"141",0.02,37.5,0.954242509439325,38,5.56291390728477
"142",0.02,37.5,0.602059991327962,38,5.56291390728477
"143",0.02,37.5,0.602059991327962,39,5.56291390728477
"144",0.02,37.5,1.04139268515823,39,5.56291390728477
"145",0.02,37.5,0.778151250383644,36,5.56291390728477
"146",0.02,37.5,0.698970004336019,38,5.56291390728477
"147",0.02,37.5,0.602059991327962,35,5.56291390728477
"148",0.02,37.5,0.602059991327962,35,5.56291390728477
"149",0.01,37.5,0.602059991327962,37,5.56291390728477
"150",0.01,37.5,0.778151250383644,37,5.56291390728477
"151",0.01,37.5,0.698970004336019,35,5.56291390728477
"152",1.16,42.5,1.23044892137827,43,0.104166666666667
"153",1.15,42.5,0.698970004336019,43,0.104166666666667
"154",1.05,42.5,0.698970004336019,44,0.208333333333333
"155",1.04,42.5,0.954242509439325,42,0.208333333333333
"156",0.98,42.5,1.27875360095283,44,0.104166666666667
"157",0.71,42.5,1.04139268515823,43,0.104166666666667
"158",0.7,42.5,1.25527250510331,43,0.3125
"159",0.69,42.5,1.47712125471966,40,0.3125
"160",0.68,42.5,1.43136376415899,42,0.3125
"161",0.63,42.5,0.845098040014257,44,0.104166666666667
"162",0.6,42.5,1.39794000867204,43,0.520833333333333
"163",0.6,42.5,0.845098040014257,43,0.520833333333333
"164",0.59,42.5,1.46239799789896,44,0.520833333333333
"165",0.59,42.5,1.14612803567824,44,0.520833333333333
"166",0.58,42.5,0.698970004336019,42,0.520833333333333
"167",0.55,42.5,1.14612803567824,41,0.416666666666667
"168",0.54,42.5,0.903089986991944,41,0.416666666666667
"169",0.53,42.5,1.61278385671974,43,0.416666666666667
"170",0.52,42.5,1.17609125905568,41,0.416666666666667
"171",0.5,42.5,1.11394335230684,44,0.520833333333333
"172",0.49,42.5,1.56820172406699,43,0.520833333333333
"173",0.48,42.5,1.23044892137827,43,0.520833333333333
"174",0.47,42.5,1.07918124604762,41,0.520833333333333
"175",0.46,42.5,1.39794000867204,41,0.520833333333333
"176",0.44,42.5,0.602059991327962,44,0.3125
"177",0.43,42.5,1.34242268082221,43,0.3125
"178",0.43,42.5,1.49136169383427,43,0.3125
"179",0.4,42.5,1.70757017609794,43,0.520833333333333
"180",0.4,42.5,0.845098040014257,43,0.520833333333333
"181",0.39,42.5,1.25527250510331,44,0.520833333333333
"182",0.39,42.5,1.44715803134222,41,0.520833333333333
"183",0.39,42.5,1.56820172406699,43,0.520833333333333
"184",0.33,42.5,1.49136169383427,44,0.520833333333333
"185",0.32,42.5,1.04139268515823,41,0.520833333333333
"186",0.32,42.5,1.47712125471966,44,0.520833333333333
"187",0.32,42.5,1.32221929473392,43,0.520833333333333
"188",0.31,42.5,1.44715803134222,41,0.520833333333333
"189",0.29,42.5,0.845098040014257,43,1.04166666666667
"190",0.29,42.5,1.64345267648619,43,1.04166666666667
"191",0.28,42.5,1.23044892137827,40,1.04166666666667
"192",0.27,42.5,0.845098040014257,41,1.04166666666667
"193",0.27,42.5,1.54406804435028,41,1.04166666666667
"194",0.27,42.5,1.17609125905568,41,1.04166666666667
"195",0.27,42.5,1.30102999566398,42,1.04166666666667
"196",0.27,42.5,0.903089986991944,41,1.04166666666667
"197",0.26,42.5,0.954242509439325,40,1.04166666666667
"198",0.26,42.5,1.14612803567824,44,1.04166666666667
"199",0.25,42.5,1.51851393987789,42,1.35416666666667
"200",0.25,42.5,0.845098040014257,43,1.35416666666667
"201",0.24,42.5,1.07918124604762,43,1.35416666666667
"202",0.24,42.5,1.44715803134222,42,1.35416666666667
"203",0.24,42.5,0.698970004336019,42,1.35416666666667
"204",0.24,42.5,1.39794000867204,43,1.35416666666667
"205",0.24,42.5,1.77085201164214,42,1.35416666666667
"206",0.23,42.5,0.845098040014257,41,1.35416666666667
"207",0.22,42.5,0.698970004336019,42,1.35416666666667
"208",0.21,42.5,0.698970004336019,43,1.35416666666667
"209",0.21,42.5,0.954242509439325,40,1.35416666666667
"210",0.21,42.5,1.50514997831991,43,1.35416666666667
"211",0.21,42.5,1.56820172406699,40,1.35416666666667
"212",0.2,42.5,0.698970004336019,40,1.77083333333333
"213",0.2,42.5,0.954242509439325,43,1.77083333333333
"214",0.2,42.5,0.698970004336019,40,1.77083333333333
"215",0.2,42.5,0.903089986991944,42,1.77083333333333
"216",0.19,42.5,1.53147891704226,43,1.77083333333333
"217",0.19,42.5,1.34242268082221,44,1.77083333333333
"218",0.18,42.5,1,44,1.77083333333333
"219",0.18,42.5,1.49136169383427,44,1.77083333333333
