,Optimizer,Activation,MSE,Status
1,sgd,elu,1.6699779229945848,Normal
2,sgd,elu,1.6697692484948436,Normal
3,sgd,elu,1.736993799185746,Normal
4,sgd,elu,0.0,ValueError
5,sgd,elu,1.677573024207262,Normal
6,sgd,softmax,1.672358080259675,Normal
7,sgd,softmax,1.6698114247208173,Normal
8,sgd,softmax,1.6698990327791225,Normal
9,sgd,softmax,1.689968562273512,Normal
10,sgd,softmax,1.6883439438995018,Normal
11,sgd,selu,0.0,ValueError
12,sgd,selu,3.2675354577813724,Normal
13,sgd,selu,1.6699955780643798,Normal
14,sgd,selu,0.0,ValueError
15,sgd,selu,5.717253680307215e+21,Normal
16,sgd,relu,1.6713104312988465,Normal
17,sgd,relu,1.680149464817673,Normal
18,sgd,relu,1.6728615336826695,Normal
19,sgd,relu,1.6765302344202435,Normal
20,sgd,relu,1.690908570411898,Normal
21,sgd,sigmoid,1.6698878567775377,Normal
22,sgd,sigmoid,1.675518214254083,Normal
23,sgd,sigmoid,1.6735082106268178,Normal
24,sgd,sigmoid,1.6785136128931684,Normal
25,sgd,sigmoid,1.6914155574447698,Normal
26,rmsprop,elu,0.15746873871215855,Normal
27,rmsprop,elu,0.808073606887816,Normal
28,rmsprop,elu,0.0651182144335743,Normal
29,rmsprop,elu,0.1224792630810416,Normal
30,rmsprop,elu,0.08398274618582219,Normal
31,rmsprop,softmax,1.6700558802698038,Normal
32,rmsprop,softmax,1.670108398398209,Normal
33,rmsprop,softmax,1.6696762959193858,Normal
34,rmsprop,softmax,1.6698402992755548,Normal
35,rmsprop,softmax,1.66991191082894,Normal
36,rmsprop,selu,0.10356530192637609,Normal
37,rmsprop,selu,0.08774305044878736,Normal
38,rmsprop,selu,0.08976412973201829,Normal
39,rmsprop,selu,0.08165315013253936,Normal
40,rmsprop,selu,0.8210409475109165,Normal
41,rmsprop,relu,1.0155961875483293,Normal
42,rmsprop,relu,0.10198070323717572,Normal
43,rmsprop,relu,0.9112749953855687,Normal
44,rmsprop,relu,0.2946934387307609,Normal
45,rmsprop,relu,0.11565561550889752,Normal
46,rmsprop,sigmoid,0.08939999091280598,Normal
47,rmsprop,sigmoid,0.08537916971250528,Normal
48,rmsprop,sigmoid,1.672865995025989,Normal
49,rmsprop,sigmoid,1.6706885651855494,Normal
50,rmsprop,sigmoid,0.07730858743320908,Normal
51,Adam,elu,0.07591339096904402,Normal
52,Adam,elu,0.08422398964200334,Normal
53,Adam,elu,0.7971192441324867,Normal
54,Adam,elu,0.0857736803862962,Normal
55,Adam,elu,0.09718035732487769,Normal
56,Adam,softmax,1.6702068029816737,Normal
57,Adam,softmax,1.6706191331560716,Normal
58,Adam,softmax,1.6725732541627105,Normal
59,Adam,softmax,1.6701267179544919,Normal
60,Adam,softmax,1.6712374494338138,Normal
61,Adam,selu,0.10195039185827653,Normal
