,gs,cs_range,ccount,bias,0
0,0.93,37.5,0.698970004336019,1,0.11415994
1,0.77,37.5,1.14612803567824,1,0.12884867
2,0.76,37.5,0.7781512503836441,1,0.13020611
3,0.71,37.5,1.0,1,0.14118838
4,0.6,37.5,1.07918124604762,1,0.18879199
5,0.58,37.5,1.32221929473392,1,0.20360368
6,0.49,37.5,0.8450980400142571,1,0.30784404
7,0.47,37.5,0.698970004336019,1,0.34371644
8,0.45,37.5,1.6232492903979001,1,0.38801235
9,0.42,37.5,1.3617278360175902,1,0.46602595
10,0.39,37.5,0.8450980400142571,1,0.56538045
11,0.39,37.5,1.43136376415899,1,0.56649125
12,0.38,37.5,1.0,1,0.60488975
13,0.37,37.5,0.8450980400142571,1,0.6471489
14,0.35,37.5,1.11394335230684,1,0.74401724
15,0.35,37.5,1.32221929473392,1,0.7445647
16,0.3,37.5,0.698970004336019,1,1.0660931
17,0.27,37.5,1.44715803134222,1,1.3446977
18,0.25,37.5,0.6020599913279621,1,1.5617441
19,0.25,37.5,0.8450980400142571,1,1.5647877
20,0.25,37.5,1.44715803134222,1,1.5727549
21,0.23,37.5,0.9542425094393249,1,1.8354373
22,0.23,37.5,1.0,1,1.8362471
23,0.21,37.5,0.7781512503836441,1,2.1488311
24,0.21,37.5,1.65321251377534,1,2.169427
25,0.21,37.5,1.04139268515823,1,2.1549275
26,0.2,37.5,1.14612803567824,1,2.335472
27,0.2,37.5,1.65321251377534,1,2.348957
28,0.2,37.5,0.698970004336019,1,2.3237844
29,0.18,37.5,1.44715803134222,1,2.7373247
30,0.18,37.5,0.698970004336019,1,2.7133365
31,0.18,37.5,0.698970004336019,1,2.7133365
32,0.18,37.5,1.0,1,2.7229695
33,0.18,37.5,1.30102999566398,1,2.7326303
34,0.18,37.5,1.30102999566398,1,2.7326303
35,0.18,37.5,1.20411998265592,1,2.729519
36,0.18,37.5,1.07918124604762,1,2.7255087
37,0.18,37.5,1.14612803567824,1,2.7276573
38,0.18,37.5,1.5314789170422598,1,2.7400336
39,0.17,37.5,0.6020599913279621,1,2.9208128
40,0.17,37.5,0.6020599913279621,1,2.9208128
41,0.17,37.5,0.7781512503836441,1,2.9269333
42,0.16,37.5,0.6020599913279621,1,3.1400142
43,0.16,37.5,1.49136169383427,1,3.172967
44,0.16,37.5,0.9030899869919442,1,3.1512294
45,0.15,37.5,1.0,1,3.3813381
46,0.15,37.5,0.7781512503836441,1,3.372643
